Country,latitude,longitude,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_millin,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,stringency_index
Afghanistan,33.93911,67.709953,44988,282,217.143,1702,12,9.571,1155.662,7.244,5.578,43.721,0.308,0.246,,,,,,,,,,,,,,,,,,8.33
Albania,41.1533,20.1683,33556,795,732,716,17,12.143,11660.296,276.253,254.361,248.801,5.907,4.219,,,,,,,,,,,,,,,,,,65.74
Algeria,28.0339,1.6596,75867,1005,1039.714,2294,22,18,1730.107,22.918,23.71,52.313,0.502,0.41,,,,,,,,,,,,,,,,,,72.22
Andorra,42.5063,1.5218,6304,48,55.714,76,0,0,81589.335,621.239,721.081,983.628,0,0,,,,,,,,,,,,,,,,,,59.26
Angola,-11.2027,17.8739,14634,141,145.571,337,0,1.857,445.259,4.29,4.429,10.254,0,0.057,,,,,,,,,,,,,,,,,,57.41
Antigua and Barbuda,17.0608,-61.7964,139,0,0.714,4,0,0,1419.41,0,7.294,40.846,0,0,,,,,,,,,,,,,,,,,,
Argentina,-38.4161,-63.6167,1374631,4265,8035.286,37122,120,199.286,30415.032,94.367,177.788,821.36,2.655,4.409,,,,,,,,,,,,,,,,,,79.17
Armenia,40.0691,45.0382,126709,485,1260.429,1976,24,26.857,42760.376,163.673,425.356,666.839,8.099,9.063,,,,,,,,,,,,,,,,,,
Australia,-25,133,27843,9,12.143,907,0,0,1091.887,0.353,0.476,35.569,0,0,,,,,,,,,,9740770,31580,381.993,1.238,48429,1.899,0,3988.2,47.22
Austria,47.5162,14.5501,250333,3145,5960,2459,71,81.714,27795.012,349.196,661.752,273.028,7.883,9.073,,685,76.057,3863,428.917,,,,,2901857,20422,322.199,2.267,29678,3.295,0.201,5,82.41
Azerbaijan,40.1431,47.5769,95281,2187,2599.714,1160,29,25,9397.313,215.698,256.403,114.408,2.86,2.466,,,,,,,,,,,,,,,,,,69.91
Bahamas,25.025885,-78.035889,7431,18,25,163,0,0,18896.472,45.773,63.573,414.497,0,0,,,,,,,,,,,,,,,,,,
Bahrain,26.0275,50.55,85886,181,143.429,339,1,0.286,50474.176,106.372,84.291,199.226,0.588,0.168,,,,,,,,,,1972822,9912,1159.404,5.825,9845,5.786,0.015,68.6,58.33
Bangladesh,23.685,90.3563,449760,2419,2184,6416,28,28.714,2730.959,14.688,13.261,38.958,0.17,0.174,,,,,,,,,,2662958,16059,16.17,0.098,15453,0.094,0.141,7.1,80.09
Barbados,13.1939,-59.5432,260,1,1.429,7,0,0,904.754,3.48,4.971,24.359,0,0,,,,,,,,,,,,,,,,,,40.74
Belarus,53.7098,27.9534,125482,1483,1433.429,1104,8,7.286,13279.473,156.942,151.696,116.834,0.847,0.771,,,,,,,,,,3091238,,327.139,,26689,2.824,0.054,18.6,22.22
Belgium,50.8333,4.469936,559902,1123,3147.286,15755,137,162.714,48310.66,96.897,271.561,1359.407,11.821,14.04,,1169,100.866,5076,437.978,,,,,5725670,22535,494.034,1.944,28764,2.482,0.109,9.1,63.89
Belize,17.1899,-88.4976,5249,66,52.286,120,4,3.714,13201.013,165.987,131.496,301.795,10.06,9.341,,,,,,,,,,,,,,,,,,66.67
Benin,9.3077,2.3158,2916,0,4.571,43,0,0,240.531,0,0.377,3.547,0,0,,,,,,,,,,,,,,,,,,40.74
Bhutan,27.5142,90.4336,386,4,1.286,,0,0,500.251,5.184,1.666,,0,0,,,,,,,,,,,,,,,,,,66.67
Bolivia,-16.2902,-63.5887,144034,56,94.714,8916,9,8.143,12339.042,4.797,8.114,763.812,0.771,0.698,,,,,,,,,,352588,592,30.205,0.051,986,0.084,0.096,10.4,84.26
Bosnia and Herzegovina,43.9159,17.6791,80553,547,1123.429,2342,66,52.714,24552.741,166.727,342.424,713.847,20.117,16.067,,,,,,,,,,,,,,,,,,48.15
Botswana,-22.3285,24.6849,9992,398,127,31,0,0.143,4248.977,169.245,54.005,13.182,0,0.061,,,,,,,,,,,,,,,,,,50.93
Brazil,-14.235,-51.9253,6087608,16207,30163.429,169485,302,495.857,28639.56,76.247,141.906,797.354,1.421,2.333,,,,,,,,,,,,,,,,,,
Brunei,4.5353,114.7277,149,1,0.143,3,0,0,340.585,2.286,0.327,6.857,0,0,,,,,,,,,,,,,,,,,,35.19
Bulgaria,42.7339,25.4858,124966,3146,3313.714,3069,189,112.429,17984.743,452.763,476.9,441.682,27.2,16.18,,399,57.423,6270,902.36,,,,,914723,2787,131.644,0.401,8301,1.195,0.399,2.5,48.15
Burkina Faso,12.2383,-1.5616,2754,19,14.571,68,0,0,131.75,0.909,0.697,3.253,0,0,,,,,,,,,,,,,,,,,,22.22
Burma,21.9162,95.956,80505,1259,1477.714,1765,26,23.714,1479.605,23.139,27.159,32.439,0.478,0.436,,,,,,,,,,,,,,,,,,79.63
Burundi,-3.3731,29.9189,664,2,4.857,1,0,0,55.842,0.168,0.408,0.084,0,0,,,,,,,,,,,,,,,,,,14.81
Cabo Verde,16.5388,-23.0418,10302,26,66,104,0,0.143,18529.177,46.764,118.708,187.054,0,0.257,,,,,,,,,,,,,,,,,,71.3
Cambodia,11.55,104.9167,306,0,0.429,,0,0,18.303,0,0.026,,0,0,,,,,,,,,,,,,,,,,,42.59
Cameroon,3.848,11.5021,23842,314,164.286,435,0,0.286,898.144,11.829,6.189,16.387,0,0.011,,,,,,,,,,,,,,,,,,45.37
Canada,60.001,-95.001,340731,6795,5036.857,11570,68,70.714,9027.862,180.037,133.454,306.554,1.802,1.874,,,,,,,,,,10940659,59006,289.879,1.563,76845,2.036,0.066,15.3,64.35
Central African Republic,6.6111,20.9394,4911,0,1.571,63,0,0,1016.82,0,0.325,13.044,0,0,,,,,,,,,,,,,,,,,,24.07
Chad,15.4542,18.7322,1648,6,6.429,101,0,0,100.33,0.365,0.391,6.149,0,0,,,,,,,,,,,,,,,,,,66.67
Chile,-35.6751,-71.543,542080,1440,1353.714,15106,37,34.714,28357.087,75.329,70.815,790.219,1.936,1.816,,,,,,,,,,5087453,38378,266.133,2.008,33639,1.76,0.04,24.8,76.39
China,30.5928,114.3055,92211,95,48.429,4742,0,0,64.066,0.066,0.034,3.295,0,0,,,,,,,,,,,,,,,,,,76.39
Colombia,4.5709,-74.2973,1254979,6562,7108.857,35479,192,179.429,24664.07,128.963,139.71,697.268,3.773,3.526,,,,,,,,,,4869410,25266,95.698,0.497,27232,0.535,,,65.74
Comoros,-11.6455,43.3333,596,0,2.429,7,0,0,685.377,0,2.793,8.05,0,0,,,,,,,,,,,,,,,,,,
Congo (Brazzaville),-0.228,15.8277,5632,0,16.714,93,0,0.143,1020.643,0,3.029,16.854,0,0.026,,,,,,,,,,,,,,,,,,43.52
Congo (Kinshasa),-4.0383,21.7587,12278,98,62.714,329,2,1.143,137.09,1.094,0.7,3.673,0.022,0.013,,,,,,,,,,,159,,0.002,301,0.003,0.208,4.8,
Costa Rica,9.7489,-83.7534,132295,2877,1100.429,1641,33,10.714,25970.169,564.769,216.02,322.136,6.478,2.103,,,,,,,,,,,,,,,,,,55.56
Cote d'Ivoire,7.54,-5.5471,21148,10,22.857,131,0,0.429,801.72,0.379,0.867,4.966,0,0.016,,,,,,,,,,211202,966,8.007,0.037,853,0.032,0.027,37.3,25
Croatia,45.1,15.2,105691,1973,2881.714,1398,45,45.143,25745.213,480.602,701.955,340.538,10.962,10.996,,,,2060,501.794,,,,,683104,6139,166.397,1.495,8387,2.043,0.344,2.9,41.67
Cuba,21.521757,-77.781167,7879,33,34.286,132,0,0.143,695.618,2.913,3.027,11.654,0,0.013,,,,,,,,,,1051530,9061,92.837,0.8,9404,0.83,0.004,274.3,59.26
Cyprus,35.1264,33.4299,8947,304,237.429,44,0,0.571,10214.648,347.072,271.068,50.234,0,0.652,,,,,,,,,,584342,5197,667.134,5.933,6144,7.015,0.039,25.9,72.22
Czechia,49.8175,15.473,496638,4375,4445,7360,164,134.857,46375.837,408.536,415.072,687.274,15.314,12.593,,826,77.132,5497,513.307,,,,,2955978,23621,276.028,2.206,20015,1.869,0.222,4.5,69.44
Denmark,56.2639,9.5018,72172,1169,1189.286,789,5,3.571,12460.199,201.823,205.325,136.218,0.863,0.617,,41,7.078,261,45.061,,,,,6910806,76990,1193.122,13.292,72165,12.459,0.016,60.7,45.37
Djibouti,11.8251,42.5903,5668,0,1.857,61,0,0,5736.83,0,1.88,61.741,0,0,,,,,,,,,,,,,,,,,,37.96
Dominica,15.415,-61.371,77,5,1.286,,0,0,1069.578,69.453,17.859,,0,0,,,,,,,,,,,,,,,,,,34.26
Dominican Republic,18.7357,-70.1627,138829,419,660.857,2311,1,3.571,12797.772,38.625,60.92,213.037,0.092,0.329,,,,,,,,,,687292,1585,63.357,0.146,4572,0.421,0.145,6.9,64.81
Ecuador,-1.8312,-78.1834,185944,301,752.571,13225,24,29.857,10539.215,17.061,42.655,749.587,1.36,1.692,,,,,,,,,,577077,2049,32.708,0.116,4155,0.236,,,52.78
Egypt,26.820553,30.802498,113381,354,338.857,6560,12,13.571,1107.946,3.459,3.311,64.104,0.117,0.133,,,,,,,,,,,,,,,,,,60.19
El Salvador,13.7942,-88.8965,37562,0,127.571,1081,6,4.857,5791.063,0,19.668,166.662,0.925,0.749,,,,,,,,,,,,,,2489,0.384,0.051,19.5,52.78
Equatorial Guinea,1.6508,10.2679,5137,7,4.714,85,0,0,3661.479,4.989,3.36,60.585,0,0,,,,,,,,,,,,,,,,,,
Eritrea,15.1794,39.7823,558,7,5.714,,0,0,157.341,1.974,1.611,,0,0,,,,,,,,,,,,,,,,,,75
Estonia,58.5953,25.0136,9956,232,301.143,92,4,1.571,7505.245,174.891,227.014,69.353,3.015,1.185,,19,14.323,162,122.122,,,,,447319,4051,337.208,3.054,5372,4.05,0.056,17.8,37.96
Eswatini,-26.5225,31.4659,6233,14,18.286,120,0,0.143,5372.516,12.067,15.761,103.434,0,0.123,,,,,,,,,,,,,,,,,,48.15
Ethiopia,9.145,40.4897,106203,418,449.571,1651,4,10,923.797,3.636,3.911,14.361,0.035,0.087,,,,,,,,,,1600606,4963,13.923,0.043,4912,0.043,0.092,10.9,51.85
Fiji,-17.7134,178.065,35,0,0,2,0,0,39.043,0,0,2.231,0,0,,,,,,,,,,15507,119,17.298,0.133,117,0.131,0,,49.07
Finland,61.9241,25.7482,21936,297,359.571,384,9,1.857,3959.054,53.603,64.896,69.305,1.624,0.335,,15,2.707,120,21.658,,,,,1866486,14687,336.867,2.651,15190,2.742,0.024,42.2,42.13
France,46.2276,2.2137,2195940,4760,22092.429,49312,505,598.571,33642.13,72.924,338.459,755.467,7.737,9.17,,4438,67.991,31449,481.803,,,,,,240947,,3.691,182118,2.79,0.122,8.2,78.7
Gabon,-0.8037,11.6094,9150,19,9.429,59,0,0.143,4111.014,8.537,4.236,26.508,0,0.064,,,,,,,,,,,,,,,,,,66.67
Gambia,13.4432,-15.3101,3726,0,3,123,0,0.143,1541.795,0,1.241,50.897,0,0.059,,,,,,,,,,,,,,,,,,36.11
Georgia,42.3154,43.3569,108690,3958,3693.571,1012,36,39.857,27246.235,992.185,925.899,253.687,9.024,9.991,,,,,,,,,,,,,,,,,,64.81
Germany,51.165691,10.451526,946822,14455,18470.857,14460,301,232.429,11300.757,172.527,220.458,172.587,3.593,2.774,,,,,,,,,,,,,,193443,2.309,0.095,10.5,64.81
Ghana,7.9465,-1.0232,50941,67,80.714,323,0,0,1639.4,2.156,2.598,10.395,0,0,,,,,,,,,,586711,3166,18.882,0.102,2127,0.068,0.038,26.4,38.89
Greece,39.0742,21.8243,93006,1387,2371.857,1714,84,78.429,8923.103,133.07,227.559,164.443,8.059,7.525,,,,,,,,,,,,,,21419,2.055,0.111,9,78.7
Grenada,12.1165,-61.679,41,0,1.143,,0,0,364.383,0,10.157,,0,0,,,,,,,,,,,,,,,,,,
Guatemala,15.7835,-90.2308,118722,93,527.143,4092,16,22,6626.751,5.191,29.424,228.405,0.893,1.228,,,,,,,,,,507938,5320,28.352,0.297,3965,0.221,0.133,7.5,49.54
Guinea,9.9456,-9.6966,12841,15,31,75,0,0,977.781,1.142,2.361,5.711,0,0,,,,,,,,,,,,,,,,,,37.04
Guinea-Bissau,11.8037,-15.1804,2422,1,0.429,43,0,0,1230.692,0.508,0.218,21.85,0,0,,,,,,,,,,,,,,,,,,
Guyana,4.860416,-58.93018,5154,21,40,146,3,1,6552.592,26.699,50.854,185.619,3.814,1.271,,,,,,,,,,,,,,,,,,68.52
Haiti,18.9712,-72.2852,9224,10,5.143,232,0,0,808.943,0.877,0.451,20.346,0,0,,,,,,,,,,,,,,,,,,47.22
Holy See,41.9029,12.4534,27,0,0,,0,0,33374.536,0,0,,0,0,,,,,,,,,,,,,,,,,,
Honduras,15.2,-86.2419,105211,776,281.714,2869,12,4.286,10622.429,78.347,28.443,289.663,1.212,0.433,,,,,,,,,,,,,,,,,,87.04
Hungary,47.1625,19.5033,177952,3334,4356.571,3891,91,100.143,18420.865,345.122,450.974,402.78,9.42,10.366,,,,7461,772.332,,,,,1518158,15311,157.154,1.585,22474,2.326,0.194,5.2,72.22
Iceland,64.9631,-19.0208,5289,12,12,26,0,0.143,15498.901,35.165,35.165,76.19,0,0.419,,2,5.861,43,126.007,,,,,207881,958,609.175,2.807,675,1.978,0.018,56.2,52.78
India,20.593684,78.96288,9177840,37975,43364.286,134218,480,528.429,6650.588,27.518,31.423,97.259,0.348,0.383,,,,,,,,,,132582730,849596,96.074,0.616,983458,0.713,0.044,22.7,68.98
Indonesia,-0.7893,113.9213,502110,4442,4494.571,16002,118,100.857,1835.71,16.24,16.432,58.503,0.431,0.369,,,,,,,,,,3580476,27334,13.09,0.1,38127,0.139,0.118,8.5,
Iran,32.427908,53.688046,866821,12460,13100,45255,453,468,10320.163,148.346,155.965,538.795,5.393,5.572,,,,,,,,,,5828307,,69.39,,40409,0.481,0.324,3.1,68.06
Iraq,33.223191,43.679291,537457,2136,2273.571,11996,38,40.571,13362.097,53.105,56.525,298.241,0.945,1.009,,,,,,,,,,3293010,24908,81.87,0.619,20960,0.521,0.108,9.2,51.85
Ireland,53.1424,-7.6921,70711,250,336.429,2023,0,5.571,14320.357,50.63,68.133,409.697,0,1.128,,33,6.683,291,58.933,,,,,1889112,9834,382.582,1.992,11120,2.252,0.03,33.1,81.48
Israel,31.046051,34.851612,330275,959,759.143,2820,7,9.857,38157.638,110.796,87.706,325.803,0.809,1.139,,,,,,,,,,5684914,53578,656.795,6.19,44041,5.088,0.017,58.8,65.74
Italy,41.8719,12.5674,1431795,22927,32273.429,50453,630,674.286,23680.974,379.198,533.782,834.46,10.42,11.152,,3810,63.015,38507,636.881,,,,,20537521,148945,339.677,2.463,215210,3.559,0.15,6.7,79.63
Jamaica,18.1096,-77.2975,10343,59,59.143,239,1,1.143,3492.887,19.925,19.973,80.712,0.338,0.386,,,,,,,,,,110490,656,37.313,0.222,677,0.229,0.087,11.4,
Japan,36.204824,138.252924,134554,1520,2142.429,1949,6,9.429,1063.866,12.018,16.939,15.41,0.047,0.075,,,,,,,,,,2966348,9560,23.454,0.076,28102,0.222,0.076,13.1,38.89
Jordan,31.24,36.51,188410,4981,5553,2302,66,65.571,18465.884,488.183,544.244,225.617,6.469,6.427,,,,,,,,,,2383578,25349,233.612,2.484,24725,2.423,0.225,4.5,78.7
Kazakhstan,48.0196,66.9237,167385,44,790.714,2372,0,7.571,8914.502,2.343,42.111,126.327,0,0.403,,,,,,,,,,4308191,24186,229.443,1.288,33857,1.803,0.023,42.8,68.06
Kenya,-0.0236,37.9062,77785,413,997.286,1392,12,15,1446.59,7.681,18.547,25.887,0.223,0.279,,,,,,,,,,843103,19403,15.679,0.361,7154,0.133,0.139,7.2,62.96
